name,latitude,longitude,Region.num,dep,x,y
Beckingham,53.072277,-0.691828,L 10,no hyperrhoticity,487.634677919294,353.6157058139
Farndon,53.083869,-2.879133,Ch 4,no hyperrhoticity,341.121761428694,354.466482660505
Mow Cop,53.108014,-2.215955,St 2,no hyperrhoticity,385.544776693089,356.81285124496
Scopwick,53.10981,-0.407203,L 9,no hyperrhoticity,506.607701598873,358.176115827766
Warslow,53.125706,-1.873053,St 1,no hyperrhoticity,408.49387536278,358.766546954401
Stonebroom,53.133685,-1.379287,Db 5,no hyperrhoticity,441.523271758689,359.826507439678
Old Bolingbroke,53.163501,0.020602,L 8,no hyperrhoticity,535.069663277548,364.869664746828
Youlgreave,53.176166,-1.682148,Db 4,no hyperrhoticity,421.242162834649,364.419095291235
Swettenham,53.201644,-2.298803,Ch 3,no hyperrhoticity,380.042718376329,367.247659973778
South Clifton,53.221766,-0.76998,Nt 3,no hyperrhoticity,482.113821767167,370.150295953249
Cuckney,53.235214,-1.165102,Nt 2,no hyperrhoticity,455.719410513472,371.265412529176
Burbage,53.253491,-1.934746,Db 3,no hyperrhoticity,404.353108665351,372.975242736831
Kingsley,53.269498,-2.671434,Ch 1,no hyperrhoticity,355.225500068111,374.964092350328
Swaby,53.269749,0.078207,L 7,no hyperrhoticity,538.576455334158,376.796349021987
Rainow,53.280583,-2.071319,Ch 2,no hyperrhoticity,395.245300260577,375.989261677554
Wragby,53.286333,-0.30016,L 6,no hyperrhoticity,513.305111842587,377.974024697526
Bamford,53.34863,-1.686771,Db 2,no hyperrhoticity,420.849158575833,383.602017542887
North Wheatley,53.364008,-0.865736,Nt 1,no hyperrhoticity,475.470437098105,385.86640677241
Halewood,53.370573,-2.820975,La 14,no hyperrhoticity,345.382758939546,386.311236966994
Sheffield,53.381129,-1.470085,Y 34,no hyperrhoticity,435.245294260619,387.302265470673
Tealby,53.400822,-0.264055,L 5,no hyperrhoticity,515.401927255603,390.765784578195
Willoughton,53.42729,-0.601767,L 4,no hyperrhoticity,492.895292448174,393.216767783859
Tickhill,53.432935,-1.109363,Y 33,no hyperrhoticity,459.164984753468,393.303669977868
Charlesworth,53.433542,-1.991003,Db 1,no hyperrhoticity,400.597668842635,393.001887333443
Ecclesfield,53.441982,-1.466509,Y 32,no hyperrhoticity,435.432526540216,394.073222793523
Bickerstaffe,53.531828,-2.836868,La 13,no hyperrhoticity,344.535952601657,404.261038246823
Holmbridge,53.559091,-1.817881,Y 30,no hyperrhoticity,412.062437720909,406.98350564842
Keelby,53.57652,-0.243846,L 3,no hyperrhoticity,516.263682569413,410.340833403491
Skelmanthorpe,53.591923,-1.6509,Y 31,no hyperrhoticity,423.1042911557,410.677054314775
Harwood,53.602397,-2.38164,La 12,no hyperrhoticity,374.748387701592,411.853260444654
Eastoft,53.636232,-0.785108,L 1,no hyperrhoticity,480.318746396276,416.235251872086
Saxby All Saints,53.636237,-0.502388,L 2,no hyperrhoticity,499.008732223841,416.592135975657
Golcar,53.637784,-1.845641,Y 29,no hyperrhoticity,410.204805879696,415.733214386798
Eccleston,53.646615,-2.725534,La 11,no hyperrhoticity,352.04470609495,416.949080974481
Thornhill,53.662214,-1.612349,Y 26,no hyperrhoticity,425.613081865149,418.509636975039
Marshside,53.666234,-2.969501,La 10,no hyperrhoticity,335.949476061523,419.323602599126
Welwick,53.669915,0.034839,Y 28,no hyperrhoticity,534.414349218486,421.219756992203
Carleton,53.676976,-1.297274,Y 27,no hyperrhoticity,446.414416811094,420.311362886949
Heptonstall,53.748748,-2.020624,Y 21,no hyperrhoticity,398.640109921758,428.066528870969
Wibsey,53.769167,-1.784397,Y 22,no hyperrhoticity,414.209367298046,430.359432956756
Leeds,53.801279,-1.548567,Y 23,no hyperrhoticity,429.729019344954,434.004732339024
Read,53.806051,-2.359046,La 9,no hyperrhoticity,376.357763462225,434.500874216967
Ribchester,53.813959,-2.532928,La 8,no hyperrhoticity,364.914777757571,435.452530851627
Newbald,53.827689,-0.596466,Y 25,no hyperrhoticity,492.368822664637,437.761612563013
Thistleton,53.832774,-2.901766,La 7,no hyperrhoticity,340.659466892905,437.790954149159
Cawood,53.833277,-1.131631,Y 24,no hyperrhoticity,457.14221736294,437.819501748785
Fleetwood,53.916661,-3.035673,La 5,no hyperrhoticity,331.984278719458,447.243061738789
Pilling,53.928398,-2.908587,La 6,no hyperrhoticity,340.346900879096,448.434294253982
Spofforth,53.952865,-1.447851,Y 18,no hyperrhoticity,436.230320517902,450.915068602847
York,53.962301,-1.081884,Y 19,no hyperrhoticity,460.229843511014,452.213904499485
Dolphinholme,53.975531,-2.738901,La 4,no hyperrhoticity,351.542066531515,453.548227058179
Gargrave,53.984331,-2.101438,Y 17,no hyperrhoticity,393.348931579689,454.27927660888
Nafferton,54.01943,-0.390184,Y 20,no hyperrhoticity,505.459093266433,459.378307122856
Grassington,54.069208,-1.999407,Y 14,no hyperrhoticity,400.038802631068,463.717179921612
Pateley Bridge,54.08502,-1.75522,Y 15,no hyperrhoticity,416.010944463896,465.503997146985
Easingwold,54.120007,-1.191878,Y 16,no hyperrhoticity,452.813909938887,469.670479701366
Ronague,54.122411,-4.688597,Man 2,no hyperrhoticity,224.318256620432,472.97705446194
Horton-in-Ribblesdale,54.144371,-2.292748,Y 13,no hyperrhoticity,380.878832869342,472.118854880759
Burton-in-Lonsdale,54.144792,-2.534649,Y 12,no hyperrhoticity,365.079260444805,472.258156398469
Rillington,54.156024,-0.702931,Y 11,no hyperrhoticity,484.69358924944,474.152852831042
Yealand Conyers,54.167485,-2.760593,La 3,no hyperrhoticity,350.349068358257,474.917964516724
Cartmel,54.199149,-2.949692,La 2,no hyperrhoticity,338.052499908247,478.589936520207
Helmsley,54.246109,-1.064661,Y 10,no hyperrhoticity,460.942096227195,483.801750204575
Dent,54.277644,-2.455109,Y 5,no hyperrhoticity,370.369634922465,487.002034221165
Bedale,54.288701,-1.593318,Y 8,no hyperrhoticity,426.470401189282,488.212930516839
Borrowby,54.294629,-1.340648,Y 9,no hyperrhoticity,442.910012554607,488.996672205219
Askrigg,54.314967,-2.081093,Y 7,no hyperrhoticity,394.725107670401,491.061940500481
Andreas,54.368387,-4.447327,Man 1,no hyperrhoticity,241.029390013599,499.762454897644
Coniston,54.369071,-3.07587,La 1,no hyperrhoticity,330.110554226542,497.611712986161
Muker,54.376702,-2.140116,Y 6,no hyperrhoticity,390.899462523202,497.936409412111
Staveley,54.377897,-2.817677,We 4,no hyperrhoticity,346.893963366979,498.368358993654
