latitude,longitude,dep,x,y
53.108014,-2.215955,coronal,385.544776693089,356.81285124496
53.10981,-0.407203,coronal,506.607701598873,358.176115827766
53.125706,-1.873053,coronal,408.49387536278,358.766546954401
53.133685,-1.379287,coronal,441.523271758689,359.826507439678
53.163501,0.020602,coronal,535.069663277548,364.869664746828
53.176166,-1.682148,coronal,421.242162834649,364.419095291235
53.201644,-2.298803,coronal,380.042718376329,367.247659973778
53.221766,-0.76998,coronal,482.113821767167,370.150295953249
53.235214,-1.165102,coronal,455.719410513472,371.265412529176
53.253491,-1.934746,coronal,404.353108665351,372.975242736831
53.269498,-2.671434,coronal,355.225500068111,374.964092350328
53.269749,0.078207,coronal,538.576455334158,376.796349021987
53.280583,-2.071319,coronal,395.245300260577,375.989261677554
53.286333,-0.30016,coronal,513.305111842587,377.974024697526
53.34863,-1.686771,coronal,420.849158575833,383.602017542887
53.364008,-0.865736,coronal,475.470437098105,385.86640677241
53.370573,-2.820975,coronal,345.382758939546,386.311236966994
53.381129,-1.470085,coronal,435.245294260619,387.302265470673
53.400822,-0.264055,coronal,515.401927255603,390.765784578195
53.42729,-0.601767,coronal,492.895292448174,393.216767783859
53.432935,-1.109363,coronal,459.164984753468,393.303669977868
53.433542,-1.991003,coronal,400.597668842635,393.001887333443
53.441982,-1.466509,coronal,435.432526540216,394.073222793523
53.531828,-2.836868,coronal,344.535952601657,404.261038246823
53.559091,-1.817881,coronal,412.062437720909,406.98350564842
53.57652,-0.243846,coronal,516.263682569413,410.340833403491
53.591923,-1.6509,coronal,423.1042911557,410.677054314775
53.602397,-2.38164,coronal,374.748387701592,411.853260444654
53.636232,-0.785108,coronal,480.318746396276,416.235251872086
53.636237,-0.502388,coronal,499.008732223841,416.592135975657
53.637784,-1.845641,coronal,410.204805879696,415.733214386798
53.646615,-2.725534,coronal,352.04470609495,416.949080974481
53.662214,-1.612349,coronal,425.613081865149,418.509636975039
53.666234,-2.969501,coronal,335.949476061523,419.323602599126
53.669915,0.034839,coronal,534.414349218486,421.219756992203
53.676976,-1.297274,coronal,446.414416811094,420.311362886949
53.748748,-2.020624,coronal,398.640109921758,428.066528870969
53.769167,-1.784397,coronal,414.209367298046,430.359432956756
53.801279,-1.548567,coronal,429.729019344954,434.004732339024
53.806051,-2.359046,coronal,376.357763462225,434.500874216967
53.813959,-2.532928,coronal,364.914777757571,435.452530851627
53.827689,-0.596466,coronal,492.368822664637,437.761612563013
53.832774,-2.901766,coronal,340.659466892905,437.790954149159
53.833277,-1.131631,coronal,457.14221736294,437.819501748785
53.916661,-3.035673,coronal,331.984278719458,447.243061738789
53.928398,-2.908587,coronal,340.346900879096,448.434294253982
53.952865,-1.447851,coronal,436.230320517902,450.915068602847
53.962301,-1.081884,coronal,460.229843511014,452.213904499485
53.975531,-2.738901,coronal,351.542066531515,453.548227058179
53.984331,-2.101438,coronal,393.348931579689,454.27927660888
54.01943,-0.390184,coronal,505.459093266433,459.378307122856
54.069208,-1.999407,coronal,400.038802631068,463.717179921612
